CHANNEL,PLATFORM,MONTH,VIEWS
M2,NAVER,2019-12-01,227781
MBC,KAKAO,2019-01-01,9546184
MBC,KAKAO,2019-02-01,8221506
MBC,KAKAO,2019-03-01,9290692
MBC,KAKAO,2019-04-01,8638623
MBC,KAKAO,2019-05-01,8999354
MBC,KAKAO,2019-06-01,10985284
MBC,KAKAO,2019-07-01,10869622
MBC,KAKAO,2019-08-01,11388779
MBC,KAKAO,2019-09-01,10854068
MBC,KAKAO,2019-10-01,10291039
MBC,KAKAO,2019-11-01,12172809
MBC,KAKAO,2019-12-01,11643084
MBC,NAVER,2019-01-01,76347515
MBC,NAVER,2019-02-01,49431014
MBC,NAVER,2019-03-01,50930840
MBC,NAVER,2019-04-01,40510993
MBC,NAVER,2019-05-01,42858274
MBC,NAVER,2019-06-01,50381007
MBC,NAVER,2019-07-01,38733722
MBC,NAVER,2019-08-01,37837744
MBC,NAVER,2019-09-01,31519984
MBC,NAVER,2019-10-01,43279638
MBC,NAVER,2019-11-01,39386411
MBC,NAVER,2019-12-01,37255616
MBC,YOUTUBE,2019-12-01,18578483
MBC PLUS,KAKAO,2019-01-01,4049631
MBC PLUS,KAKAO,2019-02-01,3919925
MBC PLUS,KAKAO,2019-03-01,2805552
MBC PLUS,KAKAO,2019-04-01,2699309
MBC PLUS,KAKAO,2019-05-01,3581029
MBC PLUS,KAKAO,2019-06-01,2935711
MBC PLUS,KAKAO,2019-07-01,3032749
MBC PLUS,KAKAO,2019-08-01,3995164
MBC PLUS,KAKAO,2019-09-01,2030658
MBC PLUS,KAKAO,2019-10-01,2041113
MBC PLUS,KAKAO,2019-11-01,2395767
MBC PLUS,KAKAO,2019-12-01,2752035
MBC PLUS,NAVER,2019-01-01,13945739
MBC PLUS,NAVER,2019-02-01,12104933
MBC PLUS,NAVER,2019-03-01,17959496
MBC PLUS,NAVER,2019-04-01,37663586
MBC PLUS,NAVER,2019-05-01,46949564
MBC PLUS,NAVER,2019-06-01,40816336
MBC PLUS,NAVER,2019-07-01,38105409
MBC PLUS,NAVER,2019-08-01,32795351
MBC PLUS,NAVER,2019-09-01,28773920
MBC PLUS,NAVER,2019-10-01,23872796
MBC PLUS,NAVER,2019-11-01,5091524
MBC PLUS,NAVER,2019-12-01,6113297
MBC PLUS,YOUTUBE,2019-12-01,1156778
MBC TVPP,KAKAO,2019-01-01,214417
MBC TVPP,KAKAO,2019-02-01,160287
MBC TVPP,KAKAO,2019-03-01,140824
MBC TVPP,KAKAO,2019-04-01,114961
MBC TVPP,KAKAO,2019-05-01,116812
MBC TVPP,KAKAO,2019-06-01,99066
MBC TVPP,KAKAO,2019-07-01,95691
MBC TVPP,KAKAO,2019-08-01,71069
MBC TVPP,KAKAO,2019-09-01,70438
MBC TVPP,KAKAO,2019-10-01,67756
MBC TVPP,KAKAO,2019-11-01,41359
MBC TVPP,KAKAO,2019-12-01,46780
MBC TVPP,NAVER,2019-01-01,1418509
MBC TVPP,NAVER,2019-02-01,1145889
MBC TVPP,NAVER,2019-03-01,1586902
MBC TVPP,NAVER,2019-04-01,806950
