WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),Again 가요톱10,KBS 2,843,40678,2277
8,8주차(2020/02/17~2020/02/23),스탠드 업!,KBS 2,807,8971,33966
8,8주차(2020/02/17~2020/02/23),팬텀싱어2,JTBC,2420,41226,
8,8주차(2020/02/17~2020/02/23),천기누설,MBN,11344,27392,4463
8,8주차(2020/02/17~2020/02/23),동백꽃 필 무렵,KBS 2,2778,40203,
8,8주차(2020/02/17~2020/02/23),최고의 한방,MBN,40802,2025,
8,8주차(2020/02/17~2020/02/23),VIP,SBS,1151,23334,17768
8,8주차(2020/02/17~2020/02/23),열혈사제,SBS,2498,39709,
8,8주차(2020/02/17~2020/02/23),KBS 띵작 드라마,스페셜,175,515,41460
8,8주차(2020/02/17~2020/02/23),서른이지만 열일곱입니다,SBS,796,40197,
8,8주차(2020/02/17~2020/02/23),연애의 맛,TV CHOSUN,3082,36708,1065
8,8주차(2020/02/17~2020/02/23),그 남자의 기억법,MBC,7015,30202,3283
8,8주차(2020/02/17~2020/02/23),호텔 델루나,tvN,2445,37477,
8,8주차(2020/02/17~2020/02/23),옥중화,MBC,14588,24081,
8,8주차(2020/02/17~2020/02/23),사건반장,JTBC,576,1207,36795
8,8주차(2020/02/17~2020/02/23),신석연,중화TV,4011,33055,1412
8,8주차(2020/02/17~2020/02/23),김구라의 공인중재사,MBC PLUS,37650,628,167
8,8주차(2020/02/17~2020/02/23),추신수 (텍사스 레인저스),MBC PLUS,19132,12867,6379
8,8주차(2020/02/17~2020/02/23),이슈를 부탁해,OBS,166,37819,
8,8주차(2020/02/17~2020/02/23),프로듀스 X 101,MNET,282,37672,
8,8주차(2020/02/17~2020/02/23),무한도전,MBC,2899,34676,
8,8주차(2020/02/17~2020/02/23),MBN 수목드라마 우아한 가,MBN,2556,34033,
8,8주차(2020/02/17~2020/02/23),독특한 연예뉴스,OBS,361,36086,
8,8주차(2020/02/17~2020/02/23),tvN Shift 2020,tvN,115,803,34936
8,8주차(2020/02/17~2020/02/23),JTBC Voyage(봐야지),JTBC,2070,33777,
8,8주차(2020/02/17~2020/02/23),봄밤,MBC,1174,34024,
8,8주차(2020/02/17~2020/02/23),식객 허영만의 백반기행,TV CHOSUN,5410,23652,5549
8,8주차(2020/02/17~2020/02/23),이번 생은 처음이라,tvN,1062,33270,
8,8주차(2020/02/17~2020/02/23),로맨스는 별책부록,tvN,831,32667,
8,8주차(2020/02/17~2020/02/23),괴팍한 5형제,JTBC,163,4880,27986
8,8주차(2020/02/17~2020/02/23),MBC 예능연구소 직캠,MBC,,12565,20399
8,8주차(2020/02/17~2020/02/23),아버지가 이상해,KBS 2,1341,31506,
8,8주차(2020/02/17~2020/02/23),이리와 안아줘,MBC,832,31701,
8,8주차(2020/02/17~2020/02/23),태양의 후예,KBS 2,2247,29481,
8,8주차(2020/02/17~2020/02/23),내 몸 사용 설명서,TV CHOSUN,1212,29162,1153
8,8주차(2020/02/17~2020/02/23),2019 KBS 연예대상,KBS 2,157,1471,29760
8,8주차(2020/02/17~2020/02/23),최지만 (탬파베이 레이스),MBC PLUS,6228,18205,6742
8,8주차(2020/02/17~2020/02/23),탐사보도 세븐,TV CHOSUN,10418,5762,14056
8,8주차(2020/02/17~2020/02/23),나의 음악 쌤 밍글라바,SBS F!L,721,29388,
8,8주차(2020/02/17~2020/02/23),닥터스,SBS,994,29065,
8,8주차(2020/02/17~2020/02/23),슬기로운 감빵생활,tvN,1467,28207,
8,8주차(2020/02/17~2020/02/23),하자있는 인간들,MBC,347,19311,9389
8,8주차(2020/02/17~2020/02/23),미식가이드 맛슐랭,JTBC,22,202,28687
8,8주차(2020/02/17~2020/02/23),끝까지 간다,JTBC,281,28509,
8,8주차(2020/02/17~2020/02/23),비긴어게인2,JTBC,2998,24736,
8,8주차(2020/02/17~2020/02/23),2TV 생생정보,KBS 2,4342,19218,3570
8,8주차(2020/02/17~2020/02/23),초콜릿,JTBC,1440,17338,8223
8,8주차(2020/02/17~2020/02/23),벅스봇 이그니션,투니버스,9,169,26595
8,8주차(2020/02/17~2020/02/23),판타스틱 듀오,SBS,3473,23182,
8,8주차(2020/02/17~2020/02/23),도깨비,tvN,1551,24966,
8,8주차(2020/02/17~2020/02/23),비밀의 숲,tvN,2305,23613,
8,8주차(2020/02/17~2020/02/23),프로듀스 48,MNET,581,25187,
8,8주차(2020/02/17~2020/02/23),SBS 스페셜,SBS,8998,16704,
8,8주차(2020/02/17~2020/02/23),으라차차 와이키키,JTBC,733,24869,
8,8주차(2020/02/17~2020/02/23),비디오머그,SBS,715,24483,
8,8주차(2020/02/17~2020/02/23),이 한 장의 사진,MBN,24725,264,
8,8주차(2020/02/17~2020/02/23),세상에서 제일 예쁜 내 딸,KBS 2,3188,21679,
8,8주차(2020/02/17~2020/02/23),썸바디2,MNET,541,10973,13275
8,8주차(2020/02/17~2020/02/23),김영철의 동네 한 바퀴,KBS 1,1011,4070,19585
8,8주차(2020/02/17~2020/02/23),아이돌 리부팅 프로젝트 더 유닛,KBS 2,218,24313,
8,8주차(2020/02/17~2020/02/23),황금빛 내 인생,KBS 2,1163,23243,
8,8주차(2020/02/17~2020/02/23),KNN뉴스,KNN2,722,23208,
8,8주차(2020/02/17~2020/02/23),의사요한,SBS,960,22939,
8,8주차(2020/02/17~2020/02/23),팬텀싱어,JTBC,2362,21502,
